2020-07-07 00:06:51.503 [- | main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-07 00:06:51.891 [- | main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-07-07 00:06:51.973 [- | main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-07-07 00:06:51.985 [- | main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-07-07 00:06:52.019 [- | main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-07-07 00:06:52.186 [- | main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: test2UsingGET_1
2020-07-07 00:06:52.206 [- | main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 00:06:52.226 [- | main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 00:06:52.229 [- | main] INFO  com.ke.mall.MallApplication - Started MallApplication in 3.791 seconds (JVM running for 4.504)
2020-07-07 00:06:52.288 [- | http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-07 00:06:52.288 [- | http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-07 00:06:52.295 [- | http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2020-07-07 00:06:52.410 [- | http-nio-8080-exec-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-07-07 00:06:52.412 [- | http-nio-8080-exec-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-07-07 00:07:22.370 [- | Thread-9] INFO  o.s.s.c.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-07-07 00:07:22.372 [- | Thread-9] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-07 00:07:22.375 [- | Thread-9] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-07-07 00:09:05.302 [- | main] INFO  com.ke.mall.MallApplication - Starting MallApplication on DESKTOP-QI3QRJF with PID 5516 (D:\Java-0912\mall\target\classes started by ningwang in D:\Java-0912\mall)
2020-07-07 00:09:05.305 [- | main] INFO  com.ke.mall.MallApplication - No active profile set, falling back to default profiles: default
2020-07-07 00:09:06.098 [- | main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-07-07 00:09:06.100 [- | main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-07-07 00:09:06.132 [- | main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2020-07-07 00:09:06.380 [- | main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$2242e4d0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-07 00:09:06.409 [- | main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4e90d34d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-07 00:09:06.612 [- | main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 00:09:06.623 [- | main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 00:09:06.629 [- | main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 00:09:06.630 [- | main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-07-07 00:09:06.778 [- | main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 00:09:06.778 [- | main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1395 ms
2020-07-07 00:09:07.026 [- | main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 00:09:07.120 [- | main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 00:09:07.696 [- | main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2020-07-07 00:09:07.819 [- | main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-07 00:09:08.168 [- | main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-07-07 00:09:08.249 [- | main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-07-07 00:09:08.260 [- | main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-07-07 00:09:08.288 [- | main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-07-07 00:09:08.455 [- | main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: test2UsingGET_1
2020-07-07 00:09:08.475 [- | main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 00:09:08.495 [- | main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 00:09:08.498 [- | main] INFO  com.ke.mall.MallApplication - Started MallApplication in 3.658 seconds (JVM running for 4.354)
2020-07-07 00:09:13.857 [- | http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-07 00:09:13.867 [- | http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-07 00:09:13.879 [- | http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-07-07 00:09:13.997 [- | http-nio-8080-exec-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-07-07 00:09:13.999 [- | http-nio-8080-exec-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-07-07 00:09:40.484 [- | Thread-9] INFO  o.s.s.c.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-07-07 00:09:40.485 [- | Thread-9] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-07 00:09:40.487 [- | Thread-9] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
